broad_position,n_players,median_peak_age,mean_peak_age,median_decline_pct_yr,mean_decline_pct_yr,q25_decline,q75_decline,median_final_value_ratio
Goalkeeper,4451,24.629705681040384,24.8862184950709,-16.728960021607776,-17.8801511469127,-28.799842796268486,-4.029570096880097,0.4
Defender,13530,24.643394934976044,24.73455808144044,-19.224392522463482,-20.040932294526073,-30.98097362827027,-8.43080120765411,0.3333333333333333
Midfielder,12218,24.16974674880219,24.352479353797303,-19.814324479677826,-20.445479214890483,-31.617309743597296,-8.542805012611565,0.3333333333333333
Forward,11314,24.194387405886378,24.322121672228153,-20.931893495652016,-21.638323068259194,-32.798493268482545,-9.817968909971068,0.3125
